Platform Type	Center	Platform	Level	Sample	Barcode	File Name
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4941-01	TCGA-CS-4941-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4941-01A-01D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4941-01	TCGA-CS-4941-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4941-01A-01D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4941-01	TCGA-CS-4941-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4941-01A-01D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4941-10	TCGA-CS-4941-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4941-10A-01D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4941-10	TCGA-CS-4941-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4941-10A-01D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4941-10	TCGA-CS-4941-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4941-10A-01D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4941-10	TCGA-CS-4941-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4941-10A-01D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4942-01	TCGA-CS-4942-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4942-01A-01D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4942-01	TCGA-CS-4942-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4942-01A-01D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4942-01	TCGA-CS-4942-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4942-01A-01D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4942-01	TCGA-CS-4942-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4942-01A-01D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4942-10	TCGA-CS-4942-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4942-10A-01D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4942-10	TCGA-CS-4942-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4942-10A-01D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4942-10	TCGA-CS-4942-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4942-10A-01D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4942-10	TCGA-CS-4942-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4942-10A-01D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4943-01	TCGA-CS-4943-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4943-01A-01D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4943-01	TCGA-CS-4943-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4943-01A-01D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4943-01	TCGA-CS-4943-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4943-01A-01D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4943-01	TCGA-CS-4943-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4943-01A-01D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4943-10	TCGA-CS-4943-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4943-10A-01D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4943-10	TCGA-CS-4943-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4943-10A-01D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4943-10	TCGA-CS-4943-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4943-10A-01D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4943-10	TCGA-CS-4943-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4943-10A-01D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4944-01	TCGA-CS-4944-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4944-01A-01D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4944-01	TCGA-CS-4944-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4944-01A-01D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4944-01	TCGA-CS-4944-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4944-01A-01D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4944-01	TCGA-CS-4944-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4944-01A-01D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4944-10	TCGA-CS-4944-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4944-10A-01D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4944-10	TCGA-CS-4944-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4944-10A-01D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4944-10	TCGA-CS-4944-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4944-10A-01D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-4944-10	TCGA-CS-4944-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-4944-10A-01D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5390-01	TCGA-CS-5390-01A-02D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5390-01A-02D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5390-01	TCGA-CS-5390-01A-02D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5390-01A-02D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5390-01	TCGA-CS-5390-01A-02D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5390-01A-02D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5390-01	TCGA-CS-5390-01A-02D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5390-01A-02D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5390-10	TCGA-CS-5390-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5390-10A-01D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5390-10	TCGA-CS-5390-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5390-10A-01D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5390-10	TCGA-CS-5390-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5390-10A-01D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5390-10	TCGA-CS-5390-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5390-10A-01D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5393-01	TCGA-CS-5393-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5393-01A-01D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5393-01	TCGA-CS-5393-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5393-01A-01D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5393-01	TCGA-CS-5393-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5393-01A-01D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5393-01	TCGA-CS-5393-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5393-01A-01D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5393-10	TCGA-CS-5393-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5393-10A-01D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5393-10	TCGA-CS-5393-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5393-10A-01D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5393-10	TCGA-CS-5393-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5393-10A-01D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5393-10	TCGA-CS-5393-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5393-10A-01D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5394-01	TCGA-CS-5394-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5394-01A-01D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5394-01	TCGA-CS-5394-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5394-01A-01D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5394-01	TCGA-CS-5394-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5394-01A-01D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5394-01	TCGA-CS-5394-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5394-01A-01D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5394-10	TCGA-CS-5394-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5394-10A-01D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5394-10	TCGA-CS-5394-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5394-10A-01D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5394-10	TCGA-CS-5394-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5394-10A-01D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5394-10	TCGA-CS-5394-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5394-10A-01D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5395-01	TCGA-CS-5395-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5395-01A-01D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5395-01	TCGA-CS-5395-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5395-01A-01D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5395-01	TCGA-CS-5395-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5395-01A-01D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5395-01	TCGA-CS-5395-01A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5395-01A-01D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5395-10	TCGA-CS-5395-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5395-10A-01D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5395-10	TCGA-CS-5395-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5395-10A-01D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5395-10	TCGA-CS-5395-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5395-10A-01D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5395-10	TCGA-CS-5395-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5395-10A-01D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5396-01	TCGA-CS-5396-01A-02D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5396-01A-02D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5396-01	TCGA-CS-5396-01A-02D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5396-01A-02D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5396-01	TCGA-CS-5396-01A-02D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5396-01A-02D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5396-01	TCGA-CS-5396-01A-02D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5396-01A-02D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5396-10	TCGA-CS-5396-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5396-10A-01D-1466-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5396-10	TCGA-CS-5396-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5396-10A-01D-1466-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5396-10	TCGA-CS-5396-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5396-10A-01D-1466-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5396-10	TCGA-CS-5396-10A-01D-1466-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5396-10A-01D-1466-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5397-01	TCGA-CS-5397-01A-01D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5397-01A-01D-1892-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5397-01	TCGA-CS-5397-01A-01D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5397-01A-01D-1892-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5397-01	TCGA-CS-5397-01A-01D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5397-01A-01D-1892-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5397-01	TCGA-CS-5397-01A-01D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5397-01A-01D-1892-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5397-10	TCGA-CS-5397-10A-03D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5397-10A-03D-1892-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5397-10	TCGA-CS-5397-10A-03D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5397-10A-03D-1892-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5397-10	TCGA-CS-5397-10A-03D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5397-10A-03D-1892-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-5397-10	TCGA-CS-5397-10A-03D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-5397-10A-03D-1892-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6186-01	TCGA-CS-6186-01A-12D-2023-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6186-01A-12D-2023-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6186-01	TCGA-CS-6186-01A-12D-2023-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6186-01A-12D-2023-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6186-01	TCGA-CS-6186-01A-12D-2023-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6186-01A-12D-2023-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6186-01	TCGA-CS-6186-01A-12D-2023-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6186-01A-12D-2023-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6186-10	TCGA-CS-6186-10A-01D-2023-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6186-10A-01D-2023-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6186-10	TCGA-CS-6186-10A-01D-2023-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6186-10A-01D-2023-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6186-10	TCGA-CS-6186-10A-01D-2023-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6186-10A-01D-2023-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6186-10	TCGA-CS-6186-10A-01D-2023-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6186-10A-01D-2023-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6188-01	TCGA-CS-6188-01A-11D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6188-01A-11D-1892-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6188-01	TCGA-CS-6188-01A-11D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6188-01A-11D-1892-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6188-01	TCGA-CS-6188-01A-11D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6188-01A-11D-1892-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6188-01	TCGA-CS-6188-01A-11D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6188-01A-11D-1892-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6188-10	TCGA-CS-6188-10A-01D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6188-10A-01D-1892-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6188-10	TCGA-CS-6188-10A-01D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6188-10A-01D-1892-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6188-10	TCGA-CS-6188-10A-01D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6188-10A-01D-1892-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6188-10	TCGA-CS-6188-10A-01D-1892-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6188-10A-01D-1892-01__snp_analysis.nocnv_hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6290-01	TCGA-CS-6290-01A-11D-1704-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6290-01A-11D-1704-01__snp_analysis.hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6290-01	TCGA-CS-6290-01A-11D-1704-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6290-01A-11D-1704-01__snp_analysis.hg19.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6290-01	TCGA-CS-6290-01A-11D-1704-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6290-01A-11D-1704-01__snp_analysis.nocnv_hg18.seg.txt
CNV (SNP)	BI	Genome_Wide_SNP_6	3	TCGA-CS-6290-01	TCGA-CS-6290-01A-11D-1704-01	broad.mit.edu__Genome_Wide_SNP_6__TCGA-CS-6290-01A-11D-1704-01__snp_analysis.nocnv_hg19.seg.txt
